,played,won,draw,lost,scored,conceived,diff
Karvina,17,4,5,8,17,20045,-20028
SpartaPrague,17,10,2,5,33,20050,-20017
SigmaOlomouc,16,5,7,4,25,20037,-20012
SlovanLiberec,16,7,3,6,24,20035,-20011
SlaviaPrague,17,14,2,1,51,20051,-20000
FCBrno,17,2,3,12,15,19077,-19062
CeskoBudejovice,17,5,7,5,23,19078,-19055
BanikOstrava,17,6,5,6,21,19070,-19049
Jablonec,17,17,0,0,16523,27804,-11281
Teplice,17,5,2,10,18,995,-977
Zlin,16,5,3,8,18,994,-976
MladaBoleslav,16,1,4,11,17,989,-972
Slovacko,17,8,3,6,30,990,-960
Opava,17,1,4,12,11,23,-12
MarilaPribram,17,2,4,11,12,19,-7
Pardubice,17,7,3,7,16,11,5
Plzen,17,7,3,7,32,17,15
Bohemians,17,15,0,2,323869,171465,152404
